key,values
305__count,"['305__curve_idx', '305__DN_HistogramMode_10', '305__troughs_count', '305__CO_Embed2_Dist_tau_d_expfit_meandiff', '305__count', '305__peak_count', '305__DN_HistogramMode_5']"
189__CO_FirstMin_ac,"['189__CO_f1ecac', '189__range', '189__CO_FirstMin_ac']"
190__CO_FirstMin_ac,"['190__CO_FirstMin_ac', '190__CO_f1ecac']"
67__count,"['67__count', '24__q3', '24__min', '24__autocoeff1', '67__PC2', '24__mean', '67__DN_OutlierInclude_p_001_mdrmd', '24__PC1', '24__med', '24__q1', '24__max']"
67__CO_f1ecac,"['67__CO_HistogramAMI_even_2_5', '67__FC_LocalSimple_mean3_stderr', '67__CO_f1ecac']"
288__curve_idx,"['288__curve_max', '288__curve_idx', '288__curve_mean']"
199__curve_idx,"['199__curve_max', '199__curve_idx', '199__range']"
184__CO_f1ecac,"['184__range', '184__CO_f1ecac', '184__curve_max']"
199__CO_f1ecac,"['199__CO_f1ecac', '199__std', '199__curve_mean']"
225__curve_idx,"['225__curve_max', '225__curve_idx']"
24__CO_FirstMin_ac,"['24__std', '24__range', '24__CO_f1ecac', '24__CO_FirstMin_ac', '24__curve_max']"
255__curve_idx,"['255__curve_idx', '255__curve_mean', '255__curve_max']"
67__peak_count,"['67__troughs_count', '67__peak_count']"
327__CO_FirstMin_ac,"['327__IN_AutoMutualInfoStats_40_gaussian_fmmi', '327__CO_FirstMin_ac']"
189__troughs_count,"['189__iqr', '189__std', '189__peak_count', '189__curve_mean', '189__troughs_count']"
305__max,"['305__curve_max', '305__range', '305__std', '305__max']"
327__peak_count,"['327__peak_count', '327__curve_mean', '327__troughs_count', '327__CO_Embed2_Dist_tau_d_expfit_meandiff', '327__MD_hrv_classic_pnn40']"
327__CO_f1ecac,"['327__FC_LocalSimple_mean3_stderr', '327__CO_f1ecac']"
190__troughs_count,"['190__std', '190__troughs_count', '190__curve_mean', '190__iqr', '190__peak_count']"
24__troughs_count,"['24__troughs_count', '24__curve_mean', '24__peak_count']"
288__troughs_count,"['288__troughs_count', '288__peak_count']"
67__max,"['67__range', '67__max', '67__std']"
189__min,"['189__PC1', '189__med', '189__min', '189__mean', '189__max', '189__q1', '189__q3', '189__autocoeff1']"
190__q1,"['190__mean', '190__med', '190__q3', '190__PC1', '190__max', '190__q1', '190__min']"
327__max,"['327__med', '327__PC1', '327__mean', '327__max', '327__autocoeff1', '327__q1', '327__q3', '327__min']"
184__min,"['184__min', '223__q1', '223__q3', '199__mean', '184__max', '223__min', '199__min', '184__PC1', '199__med', '184__mean', '223__PC1', '199__PC1', '223__med', '184__q1', '223__max', '199__q3', '184__q3', '184__autocoeff1', '223__mean', '199__q1', '184__med', '199__max']"
67__q3,"['67__nonlinearity', '67__q3', '67__med', '67__mean', '67__iqr', '67__PC1']"
327__count,"['223__count', '307__count', '225__count', '255__count', '189__count', '190__count', '270__CO_f1ecac', '270__count', '327__count', '288__count', '199__count', '184__count']"
255__IN_AutoMutualInfoStats_40_gaussian_fmmi,"['255__IN_AutoMutualInfoStats_40_gaussian_fmmi', '255__CO_f1ecac']"
270__curve_idx,"['255__SB_BinaryStats_mean_longstretch1', '270__curve_idx']"
307__troughs_count,"['307__troughs_count', '307__peak_count']"
225__SB_BinaryStats_mean_longstretch1,"['225__SB_BinaryStats_mean_longstretch1', '225__CO_FirstMin_ac']"
270__CO_FirstMin_ac,"['270__DN_OutlierInclude_n_001_mdrmd', '270__SB_BinaryStats_mean_longstretch1', '270__CO_FirstMin_ac', '270__DN_HistogramMode_5', '270__DN_HistogramMode_10']"
307__curve_idx,"['307__PC1', '307__FC_LocalSimple_mean3_stderr', '307__curve_idx', '307__CO_HistogramAMI_even_2_5', '307__SP_Summaries_welch_rect_area_5_1', '307__DN_OutlierInclude_p_001_mdrmd']"
288__CO_FirstMin_ac,"['288__SB_BinaryStats_mean_longstretch1', '288__CO_FirstMin_ac']"
225__troughs_count,"['225__peak_count', '225__troughs_count']"
327__DN_HistogramMode_10,"['327__DN_HistogramMode_5', '327__DN_HistogramMode_10']"
327__SP_Summaries_welch_rect_centroid,"['327__SP_Summaries_welch_rect_area_5_1', '327__SP_Summaries_welch_rect_centroid', '327__autocoeff2']"
255__troughs_count,"['255__peak_count', '255__troughs_count']"
225__CO_f1ecac,"['225__SP_Summaries_welch_rect_area_5_1', '225__CO_f1ecac']"
223__autocoeff2,"['223__range', '223__autocoeff2', '223__std', '223__curve_max']"
184__autocoeff2,"['184__std', '184__autocoeff2']"
305__SP_Summaries_welch_rect_centroid,"['305__FC_LocalSimple_mean3_stderr', '305__autocoeff2', '305__SP_Summaries_welch_rect_area_5_1', '305__SP_Summaries_welch_rect_centroid', '305__CO_f1ecac']"
288__q3,"['288__iqr', '288__q3']"
225__q1,"['225__q1', '225__mean', '225__min', '225__max', '225__med', '225__PC1', '225__autocoeff1', '225__q3']"
190__autocoeff3,"['190__autocoeff2', '190__autocoeff3']"
270__SB_BinaryStats_diff_longstretch0,"['270__autocoeff3', '270__autocoeff2', '270__SB_BinaryStats_diff_longstretch0']"
67__autocoeff2,"['67__autocoeff2', '67__autocoeff3']"
225__range,"['225__range', '225__iqr', '225__std']"
225__DN_HistogramMode_5,"['307__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1', '288__SP_Summaries_welch_rect_centroid', '225__DN_HistogramMode_5']"
288__PC1,"['288__DN_OutlierInclude_p_001_mdrmd', '288__PC1']"
255__max,"['255__autocoeff1', '255__max', '255__min', '255__PC1', '255__q1', '255__mean', '255__q3']"
307__q3,"['307__std', '307__min', '307__curve_mean', '307__med', '307__range', '307__autocoeff1', '307__curve_max', '307__q3', '307__mean']"
225__PC2,"['225__DN_OutlierInclude_p_001_mdrmd', '225__PC2']"
255__PC2,"['255__PC2', '255__DN_OutlierInclude_n_001_mdrmd']"
225__autocoeff2,"['225__autocoeff2', '225__autocoeff3', '225__CO_Embed2_Dist_tau_d_expfit_meandiff']"
305__mean,"['305__nonlinearity', '305__mean', '305__autocoeff1', '305__curve_mean']"
67__SP_Summaries_welch_rect_centroid,"['67__SP_Summaries_welch_rect_centroid', '67__autocoeff1', '67__SP_Summaries_welch_rect_area_5_1']"
288__max,"['288__range', '288__med', '288__std', '288__autocoeff1', '288__max', '288__mean']"
288__autocoeff2,"['288__autocoeff2', '288__autocoeff3', '288__CO_trev_1_num']"
270__iqr,"['270__curve_max', '270__std', '270__nonlinearity', '270__range', '270__max', '270__iqr', '270__q3']"
255__iqr,"['255__iqr', '255__std']"
288__DN_HistogramMode_10,"['288__DN_HistogramMode_10', '288__DN_HistogramMode_5']"
307__DN_HistogramMode_5,"['307__DN_HistogramMode_5', '307__autocoeff3', '307__DN_HistogramMode_10', '307__autocoeff2']"
255__autocoeff2,"['255__autocoeff3', '255__autocoeff2']"
270__mean,"['270__autocoeff1', '270__mean']"
288__FC_LocalSimple_mean3_stderr,"['288__SP_Summaries_welch_rect_area_5_1', '288__FC_LocalSimple_mean3_stderr']"
255__FC_LocalSimple_mean3_stderr,"['255__FC_LocalSimple_mean3_stderr', '255__SP_Summaries_welch_rect_area_5_1']"
305__q3,"['305__iqr', '305__q3']"
190__range,"['190__range', '190__curve_max']"
184__curve_mean,"['184__curve_mean', '184__nonlinearity']"
184__CO_FirstMin_ac,['184__CO_FirstMin_ac']
184__PC2,['184__PC2']
184__PD_PeriodicityWang_th0_01,['184__PD_PeriodicityWang_th0_01']
184__autocoeff3,['184__autocoeff3']
184__curve_idx,['184__curve_idx']
184__iqr,['184__iqr']
184__peak_count,['184__peak_count']
184__troughs_count,['184__troughs_count']
189__PC2,['189__PC2']
189__PD_PeriodicityWang_th0_01,['189__PD_PeriodicityWang_th0_01']
189__autocoeff2,['189__autocoeff2']
189__autocoeff3,['189__autocoeff3']
189__curve_idx,['189__curve_idx']
189__curve_max,['189__curve_max']
